問題,分野,テーマ,確認できた原資料,原典照合状況,正答・解説の確認元,関連問題群,URL,選定理由
"1","テクノロジ","論理演算と真理値表","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「論理演算と真理値表」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"2","テクノロジ","ベイズの定理","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「ベイズの定理」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"3","テクノロジ","過学習","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「過学習」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"4","テクノロジ","情報落ち","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「情報落ち」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"5","テクノロジ","二分探索木","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「二分探索木」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"6","テクノロジ","スタックと出力順","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「スタックと出力順」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"7","テクノロジ","JSON","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「JSON」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"8","テクノロジ","GPUによる並列処理","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目Aサンプル問題","https://www.fe-siken.com/","「GPUによる並列処理」を扱う設問であることから、現行の科目Aで扱われるAI・クラウド・開発技術などの出題形式を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"9","テクノロジ","5段パイプライン","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「5段パイプライン」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"10","テクノロジ","仮想化環境の縮退運転","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「仮想化環境の縮退運転」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"11","テクノロジ","Infrastructure as Code","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「Infrastructure as Code」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
"12","テクノロジ","システム稼働率","提供された「FE科目A模試①」の問題画像","原資料に年度・試験区分・問番号の記載がないため、転載元は未特定","提供された「FE科目A模試解説①.pdf」","基本情報技術者試験 科目A公開問題","https://www.fe-siken.com/","「システム稼働率」を扱う設問であることから、科目Aで問われる基礎理論・コンピュータシステム・データベース・ネットワークの類題を確認する参照先として掲載。これは原典の推定ではなく、復習用の関連問題群である。"
